filename_base,task_id,source,misjudgement,answer,llm_answer,evaluated,data_id,difficulty,problem_text_length,solution_text_length,prompt_perplexity,statement_gunning_fog_index,statement_flesch_kincaid_grade,api_calls,actual_verdict,File Name,LOC,LLOC,SLOC,Comments,Cyclomatic Complexity,Maintainability Index,h1,h2,h,N1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time,module,pylint_total_issues,pylint_convention,pylint_error,pylint_refactor,pylint_warning,File,complexity_sum,bandit_total_issues,bandit_unique_severities,bandit_unique_confidences
code_task_0_data_deepseekcoder,0,deepseekcoder,False,C,C,C,1,1,1293,1371,1.0000037697296307,13.153846153846155,9.703000000000003,9,WA,code_task_0_data_deepseekcoder.py,36,20,20,11,15,82.44356168962207,4,18,22,17,32,49,22,218.5121493132276,3.5555555555555554,776.9320864470313,0.0728373831044092,43.16289369150174,code_task_0_data_deepseekcoder,6.0,5.0,0.0,1.0,0.0,code_task_0_data_deepseekcoder.py,15,0.0,0.0,0.0
code_task_0_data_starcoder,0,starcoder,False,C,C,C,3,1,1293,316,1.0000037697296307,13.153846153846155,9.703000000000003,13,WA,code_task_0_data_starcoder.py,19,14,14,0,0,58.747872471295494,5,17,22,13,23,36,22,160.5395382709427,3.3823529411764706,543.0013794458356,0.0535131794236475,30.166743302546426,code_task_0_data_starcoder,4.0,1.0,0.0,3.0,0.0,code_task_0_data_starcoder.py,4,0.0,0.0,0.0
code_task_0_data_gpt4,0,gpt4,False,A,A,A,4,1,1293,317,1.0005537820014745,13.153846153846155,9.703000000000003,8,AC,code_task_0_data_gpt4.py,14,15,13,0,0,57.24419344112836,5,15,20,17,30,47,20,203.13062045970605,5.0,1015.6531022985304,0.067710206819902,56.42517234991835,code_task_0_data_gpt4,1.0,1.0,0.0,0.0,0.0,code_task_0_data_gpt4.py,7,0.0,0.0,0.0
code_task_1_data_codegeex,1,codegeex,False,C,C,C,5,1,675,256,1.0000003128163746,10.707070707070708,7.52030303030303,6,WA,code_task_1_data_codegeex.py,18,13,13,0,2,62.39411617564223,4,9,13,6,12,18,13,66.60791492653966,2.6666666666666665,177.62110647077242,0.0222026383088465,9.867839248376246,code_task_1_data_codegeex,5.0,3.0,1.0,0.0,1.0,code_task_1_data_codegeex.py,1,0.0,0.0,0.0
code_task_1_data_qwen,1,qwen,False,C,C,C,6,1,675,637,1.0000030545053316,10.707070707070708,7.52030303030303,20,WA,code_task_1_data_qwen.py,21,15,15,0,11,59.54152609141255,4,10,14,7,14,21,14,79.95445336320968,2.8,223.8724694169871,0.0266514844544032,12.43735941205484,code_task_1_data_qwen,5.0,4.0,0.0,0.0,1.0,code_task_1_data_qwen.py,4,0.0,0.0,0.0
code_task_1_data_gpt3.5,1,gpt3.5,False,C,C,C,7,1,675,242,1.0000003128163746,10.707070707070708,7.52030303030303,9,WA,code_task_1_data_gpt3.5.py,15,10,10,0,2,69.3113889160328,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.0051699250014423,0.861654166907052,code_task_1_data_gpt3.5,3.0,3.0,0.0,0.0,0.0,code_task_1_data_gpt3.5.py,0,0.0,0.0,0.0
code_task_1_data_gpt4,1,gpt4,True,C,A,C,9,1,675,319,1.1054282014484527,10.707070707070708,7.52030303030303,16,RE,code_task_1_data_gpt4.py,13,12,11,0,5,60.56392653453288,6,17,23,11,22,33,23,149.27754454988144,3.8823529411764706,579.5481141348338,0.0497591815166271,32.19711745193521,code_task_1_data_gpt4,5.0,3.0,0.0,1.0,1.0,code_task_1_data_gpt4.py,5,0.0,0.0,0.0
code_task_2_data_Mixtral,2,Mixtral,False,C,C,C,10,1,761,257,1.0155924893662254,7.4012121212121205,5.64890909090909,8,WA,code_task_2_data_Mixtral.py,10,7,7,0,0,68.67862335196351,5,8,13,5,10,15,13,55.506595772116384,3.125,173.4581117878637,0.0185021985907054,9.636561765992427,code_task_2_data_Mixtral,3.0,3.0,0.0,0.0,0.0,code_task_2_data_Mixtral.py,4,0.0,0.0,0.0
code_task_2_data_deepseekcoder,2,deepseekcoder,False,C,C,C,11,1,761,159,1.0028147749981784,7.4012121212121205,5.64890909090909,7,WA,code_task_2_data_deepseekcoder.py,9,7,7,0,3,71.1391250772406,3,5,8,3,6,9,8,27.0,1.8,48.6,0.009,2.7,code_task_2_data_deepseekcoder,3.0,2.0,0.0,0.0,1.0,code_task_2_data_deepseekcoder.py,3,0.0,0.0,0.0
code_task_2_data_gpt4,2,gpt4,False,A,A,A,12,1,761,170,1.0003364723979011,7.4012121212121205,5.64890909090909,7,AC,code_task_2_data_gpt4.py,6,5,5,0,0,72.4042667632288,4,9,13,5,10,15,13,55.506595772116384,2.2222222222222223,123.34799060470309,0.0185021985907054,6.852666144705727,code_task_2_data_gpt4,2.0,2.0,0.0,0.0,0.0,code_task_2_data_gpt4.py,0,0.0,0.0,0.0
